id,nombre,nombre_kanji,role,anime_id,imagen_url,fecha_extraccion
10697,Aburame Shibi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/15/103841.jpg?s=c555bc6a75c48a6ab191b9dc75b46805,2025-04-06 20:52:34
10698,Akahoshi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/7/57543.jpg?s=38e0bf9f45bf7e46bb18bb4b38cb6ae9,2025-04-06 20:52:34
10699,Akimichi Chouza,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/16/103839.jpg?s=9bbeca695c99940d76131a1f9c78611b,2025-04-06 20:52:34
10700,Akio,,SUPPORTING,20,https://placeholder.com/no_image.jpg,2025-04-06 20:52:34
10728,Momochi Zabuza,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/14/103706.jpg?s=4550a5e0c0af5a9f355a000386954d38,2025-03-30 21:11:15
10791,Ebisu,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/7/104660.jpg?s=ded9ad1ef8ed616f3cfba2974f822f7f,2025-04-06 20:52:34
10809,Mitarashi Anko,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/8/66177.jpg?s=dd1055043101c23d89c332873170f962,2025-04-06 20:52:34
11813,Shukaku,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/16/62812.jpg?s=c16d67dab7ccd31a6b0c639a504fc2b6,2025-04-06 20:52:34
12405,Yakushi Kabuto,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/14/82459.jpg?s=81d3435c2ca60c6acbea9da7bc7ba6c4,2025-03-30 21:11:15
12464,Senju Hashirama,,SUPPORTING,9085230,https://cdn.myanimelist.net/images/characters/10/34809.jpg?s=9a7605792e5daa2cd71b4f4695017b21,2025-03-30 21:11:15
12465,Senju Tobirama,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/2/293367.jpg?s=368e32b777d1652b75597ceb0808fd05,2025-04-06 20:52:34
12563,Hyuuga Hanabi,,SUPPORTING,20,https://placeholder.com/no_image.jpg,2025-04-06 20:52:34
12766,Pakkun,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/54922.jpg?s=d5ad8c7e353fd173d020ef72fbadd3f3,2025-03-30 15:23:40
13017,Yashamaru,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/103943.jpg?s=6d629e23e1ee454ea6ac6d780629d450,2025-04-06 20:52:34
13150,Zetsu,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/11/76260.jpg?s=f677ce2557f67393a92943f4b21270ab,2025-04-06 20:52:34
13454,Kazamatsuri Moegi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/16/110944.jpg?s=5f8e5adbf660bbf2b12cf7f18589b8e9,21/2/2022
14032,Kamizuki Izumo,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/12/104663.jpg?s=2ae515dad36ebe3e30c9f36155fb5e56,2025-04-06 20:52:34
14775,Sarutobi Asuma,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/82538.jpg?s=5196f696350f23474767acdf6efc6b8f,2025-04-06 20:52:34
15039,Hyuuga Hiashi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/11/103836.jpg?s=ee29dfbb0ceaba845e7baf1d2973405a,2025-04-06 20:52:34
15045,Uzuki Yugao,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/15/232233.jpg?s=c9e3a2d3deea5b8ca06b92593410bc71,2025-04-06 20:52:34
15072,Yamanaka Inoichi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/10/103837.jpg?s=b2e6470593966071b495ca22130eeb0f,2025-04-06 20:52:34
15073,Inuzuka Hana,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/15/166499.jpg?s=d444af94f64ccedaf8bace8f103cf3b4,2025-04-06 20:52:34
15074,Inuzuka Tsume,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/12/103831.jpg?s=2a8ca532d72a28e03103f3ca4da854ed,2025-04-06 20:52:34
15077,Tsunami,,SUPPORTING,0,https://cdn.myanimelist.net/images/characters/16/58401.jpg?s=507d1849662bf29561659f2b42f801bc,2025-04-06 20:52:34
15081,Baki,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/3/103833.jpg?s=55731fecf3505c870eb10480c5a08587,2025-04-06 20:52:34
15145,Yotaka,,SUPPORTING,9542872,https://cdn.myanimelist.net/images/characters/5/62787.jpg?s=d65d7be6fc27234bcc5bacd16739c37f,2025-04-06 20:52:34
15176,Fuuma Kamikiri,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/63709.jpg?s=86ed81ec920366d296d2533364e1eb24,2025-04-06 20:52:34
15177,Fuuma Sasame,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/10/57172.jpg?s=69bcddb9ca21b6bfb797f0b768c73855,2025-04-06 20:52:34
15178,Haruna,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/66168.jpg?s=e4ae19d946f19990794862b7aaee7c8c,2025-04-06 20:52:34
15179,Shigure,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/14/110943.jpg?s=b2b4dcb556d05b65798e27f65091e8b7,2025-04-06 20:52:34
15757,Enma,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/2/158745.jpg?s=273fc4a8efd0a327b4694531e85ee9e0,2025-04-06 20:52:34
15759,Mizura,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/8/62804.jpg?s=0dad57fdb56dd9d64ca62b9793a0c40b,2025-04-06 20:52:34
16164,Gouzu,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/16/74497.jpg?s=874a6ed56b94d55c6325fbd6d2187566,2025-04-06 20:52:34
16165,Meizu,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/16/74494.jpg?s=267f649946d4c04800efb715f1433204,2025-04-06 20:52:34
16304,Hagane Kotetsu,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/4/104662.jpg?s=c689d1dd76d9921dd6598fd4e9658232,2025-04-06 20:52:34
16321,Toki,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/16/57642.jpg?s=9e96af8d4cfee54f67801e8222a284ac,2025-04-06 20:52:34
16952,Gamatatsu,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/62776.jpg?s=b739ffebbce00c375e4788c5215c974e,2025-04-06 20:52:34
16973,Uchiha Fugaku,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/12/103948.jpg?s=1bd273d4b4fcc2373f19d2d9ac299f3d,2025-04-06 20:52:34
16974,Mubi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/8/58258.jpg?s=aa127e0bc2a822dd86e849f15f0febac,8/5/2021
16975,Houki,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/66171.jpg?s=cad84e6a8103d2c12dfcd83dfdcf90d9,13/4/2020
